time,temperature_2m_mean (°C),rain_sum (mm),wind_speed_10m_max (km/h),apparent_temperature_mean (°C),temperature_2m_min (°C),temperature_2m_max (°C),apparent_temperature_max (°C),weather_code (wmo code),wind_direction_10m_dominant (°),wind_gusts_10m_max (km/h),shortwave_radiation_sum (MJ/m²),daylight_duration (s),sunshine_duration (s),apparent_temperature_min (°C),precipitation_hours (h),precipitation_sum (mm),et0_fao_evapotranspiration (mm),snowfall_sum (cm),cloud_cover_mean (%),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),visibility_mean (undefined),visibility_max (undefined),visibility_min (undefined),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),winddirection_10m_dominant (°),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h)
2009-02-01 00:00:00+00:00,14.1,0.0,12.0,11.0,7.9,20.6,17.5,0.0,215.0,27.7,16.92,38792.64,35403.46,4.7,0.0,0.0,3.57,0.0,0.0,0.7,42.0,,,,17.1,8.8,215.0,10.8,5.7
2009-02-02 00:00:00+00:00,14.3,0.0,11.9,11.4,5.8,21.9,19.1,0.0,74.0,24.1,17.19,38879.4,35479.76,3.4,0.0,0.0,3.61,0.0,0.0,1.1,45.0,,,,15.1,7.5,74.0,7.9,1.1
2009-02-03 00:00:00+00:00,16.1,0.0,21.3,12.3,9.2,24.0,19.5,2.0,65.0,41.4,17.27,38967.86,35570.21,6.3,0.0,0.0,4.69,0.0,3.0,2.4,43.0,,,,27.8,15.0,65.0,17.3,9.0
2009-02-04 00:00:00+00:00,17.9,0.0,18.3,15.5,10.9,26.8,24.4,3.0,90.0,31.3,17.7,39057.9,35614.48,8.4,0.0,0.0,3.76,0.0,32.0,4.0,46.0,,,,18.9,8.8,90.0,9.7,0.4
2009-02-05 00:00:00+00:00,18.0,0.0,13.6,14.4,11.4,26.4,22.2,0.0,222.0,31.3,17.8,39149.4,35718.27,7.8,0.0,0.0,4.68,0.0,0.0,-1.6,31.0,,,,19.9,10.0,222.0,11.9,6.5
2009-02-06 00:00:00+00:00,15.5,0.0,9.7,14.4,10.4,22.0,20.2,3.0,347.0,22.7,16.08,39242.27,32732.03,9.6,0.0,0.0,2.94,0.0,29.0,9.3,72.0,,,,14.5,6.8,347.0,9.0,2.5
2009-02-07 00:00:00+00:00,15.7,0.0,10.1,14.0,7.7,23.3,21.3,3.0,53.0,23.4,17.45,39336.38,35750.41,6.1,0.0,0.0,3.43,0.0,31.0,6.9,62.0,,,,15.8,7.5,53.0,9.0,4.3
2009-02-08 00:00:00+00:00,19.0,0.0,20.5,15.7,12.0,27.7,23.1,3.0,173.0,36.0,16.12,39431.62,31341.27,9.6,0.0,0.0,4.95,0.0,85.0,2.3,37.0,,,,22.4,11.7,173.0,10.1,4.6
2009-02-09 00:00:00+00:00,20.5,0.0,24.2,16.2,16.6,25.3,21.2,3.0,215.0,46.8,16.43,39527.91,35343.29,11.5,0.0,0.0,6.05,0.0,95.0,0.4,28.0,,,,32.0,16.8,215.0,9.4,7.4
2009-02-10 00:00:00+00:00,14.9,0.2,34.9,9.8,11.6,17.4,13.3,51.0,273.0,69.5,15.14,39625.11,35417.8,6.2,1.0,0.2,4.55,0.0,45.0,1.7,42.0,,,,43.9,23.1,273.0,20.5,9.7
