datetime,Global_active_power,Sub_metering_1,Sub_metering_2,Sub_metering_3
2006-12-16,3.053475,0.0,546.0,4926.0
2006-12-17,2.354486,2033.0,4187.0,13341.0
2006-12-18,1.5304347,1063.0,2621.0,14018.0
2006-12-19,1.1570791,839.0,7602.0,6197.0
2006-12-20,1.5456583,0.0,2648.0,14063.0
2006-12-21,1.1924403,1765.0,2623.0,10421.0
2006-12-22,1.6259291,3151.0,350.0,11131.0
2006-12-23,3.3148515,2669.0,425.0,14726.0
2006-12-24,1.7708416,1703.0,5082.0,6891.0
2006-12-25,1.9049445,6620.0,1962.0,5795.0
2006-12-26,2.7320209,1086.0,2533.0,14979.0
2006-12-27,1.061639,0.0,314.0,6976.0
2006-12-28,1.4393319,2207.0,4419.0,9176.0
2006-12-29,2.204439,1252.0,5162.0,11329.0
2006-12-30,1.9460666,3147.0,7938.0,12515.0
2006-12-31,2.426525,0.0,347.0,6502.0
2007-01-01,1.9090304,0.0,352.0,5880.0
2007-01-02,0.8814139,0.0,348.0,6562.0
2007-01-03,0.7042042,0.0,344.0,4765.0
2007-01-04,2.2634807,1051.0,7597.0,10896.0
2007-01-05,1.8842806,1483.0,379.0,7602.0
2007-01-06,1.0474848,1336.0,402.0,5678.0
2007-01-07,1.6997362,1987.0,8177.0,12810.0
2007-01-08,1.5565001,0.0,467.0,17547.0
2007-01-09,1.2979541,1688.0,4267.0,9790.0
2007-01-10,1.4963889,771.0,4456.0,11012.0
2007-01-11,1.566107,1378.0,2170.0,12415.0
2007-01-12,1.0147889,0.0,439.0,8276.0
2007-01-13,2.2130651,7806.0,2975.0,11341.0
2007-01-14,2.0909925,1777.0,4215.0,12991.5
2007-01-15,1.4921374,1099.0,2239.0,15163.0
2007-01-16,1.171114,2063.0,644.0,6583.0
2007-01-17,1.9775611,3500.0,5737.0,16064.0
2007-01-18,1.2649041,0.0,336.0,13491.0
2007-01-19,1.0280833,2103.0,330.0,7172.0
2007-01-20,2.1762028,4324.0,5222.0,11440.0
2007-01-21,2.3661542,10346.0,5567.0,11599.0
2007-01-22,1.5142319,1054.0,2983.0,11361.0
2007-01-23,1.2344723,0.0,1064.0,5061.0
2007-01-24,2.0748987,3464.0,2480.0,11744.0
2007-01-25,1.1085722,1158.0,262.0,11239.0
2007-01-26,1.1235917,1163.0,261.0,8238.0
2007-01-27,1.4194945,1170.0,3896.0,12374.0
2007-01-28,2.1475174,3466.0,3997.5,12061.0
2007-01-29,1.37685,1123.0,294.0,15254.0
2007-01-30,1.1859708,1123.0,1424.0,8149.0
2007-01-31,1.6414944,0.0,5950.0,15052.0
2007-02-01,1.2671945,1170.0,386.0,13145.0
2007-02-02,1.15815,0.0,356.0,11338.0
2007-02-03,2.798418,4746.0,4573.0,17834.0
2007-02-04,2.4971805,3391.0,4597.0,14472.0
2007-02-05,1.1425556,896.0,2564.0,7849.0
2007-02-06,0.8843611,1185.0,405.0,4517.0
2007-02-07,1.6166792,3299.0,3513.0,11986.0
2007-02-08,1.250982,2226.0,366.0,10157.0
2007-02-09,1.1251374,0.0,3045.0,9770.0
2007-02-10,1.9648111,5071.0,2831.0,14405.0
2007-02-11,2.4800196,2430.0,4765.0,13114.0
2007-02-12,1.3038958,2227.0,399.0,11517.0
2007-02-13,0.98232365,0.0,2828.0,6256.0
2007-02-14,1.735189,3295.0,3793.0,11579.0
2007-02-15,1.3787124,0.0,2363.0,14028.0
2007-02-16,1.182311,1148.0,859.0,8689.0
2007-02-17,1.4423001,1765.0,2226.0,7157.0
2007-02-18,2.6595569,6107.0,8003.0,13129.0
2007-02-19,1.518482,1634.0,2900.0,13085.0
2007-02-20,2.18745,2058.0,5191.0,9713.0
2007-02-21,1.4394958,3527.0,2332.0,11548.0
