timestamp,type,severity,message,estimated_saving_kwh,condition
2006-12-17 01:00:00,Night_Idle_Waste,Low,"Idle consumption 3.35kW at 1h. Check standby: router, fridge, Sub_metering_3.",3.049,hour in 1-5 & kW>0.8
2006-12-17 02:00:00,Night_Idle_Waste,Low,"Idle consumption 1.59kW at 2h. Check standby: router, fridge, Sub_metering_3.",1.287,hour in 1-5 & kW>0.8
2006-12-17 03:00:00,Night_Idle_Waste,Low,"Idle consumption 1.66kW at 3h. Check standby: router, fridge, Sub_metering_3.",1.362,hour in 1-5 & kW>0.8
2006-12-17 04:00:00,Night_Idle_Waste,Low,"Idle consumption 2.22kW at 4h. Check standby: router, fridge, Sub_metering_3.",1.916,hour in 1-5 & kW>0.8
2006-12-17 05:00:00,Night_Idle_Waste,Low,"Idle consumption 2.00kW at 5h. Check standby: router, fridge, Sub_metering_3.",1.697,hour in 1-5 & kW>0.8
2006-12-17 18:00:00,Peak_Shift,High,High consumption 3.70kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.739,hour=18 & kW>2.96
2006-12-17 20:00:00,Peak_Shift,High,High consumption 3.36kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.672,hour=20 & kW>2.94
2006-12-17 21:00:00,Peak_Shift,High,High consumption 3.04kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.608,hour=21 & kW>2.94
2006-12-18 04:00:00,Night_Idle_Waste,Low,"Idle consumption 1.03kW at 4h. Check standby: router, fridge, Sub_metering_3.",0.726,hour in 1-5 & kW>0.8
2006-12-18 18:00:00,Peak_Shift,Medium,High consumption 2.40kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.481,hour=18 & kW>1.84
2006-12-18 19:00:00,Peak_Shift,Medium,High consumption 2.61kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.523,hour=19 & kW>1.83
2006-12-18 20:00:00,Peak_Shift,High,High consumption 3.05kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.61,hour=20 & kW>1.81
2006-12-18 21:00:00,Peak_Shift,Medium,High consumption 2.17kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.434,hour=21 & kW>1.77
2006-12-19 18:00:00,Peak_Shift,Medium,High consumption 2.20kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.441,hour=18 & kW>1.58
2006-12-19 19:00:00,Peak_Shift,Medium,High consumption 1.84kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.368,hour=19 & kW>1.54
2006-12-19 20:00:00,Peak_Shift,Medium,High consumption 2.94kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.588,hour=20 & kW>1.53
2006-12-20 18:00:00,Peak_Shift,Medium,High consumption 2.84kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.567,hour=18 & kW>1.43
2006-12-20 19:00:00,Peak_Shift,High,High consumption 3.25kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.65,hour=19 & kW>1.50
2006-12-20 20:00:00,Peak_Shift,High,High consumption 3.58kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.715,hour=20 & kW>1.53
2006-12-20 21:00:00,Peak_Shift,High,High consumption 3.65kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.729,hour=21 & kW>1.64
2006-12-21 01:00:00,Night_Idle_Waste,Low,"Idle consumption 1.40kW at 1h. Check standby: router, fridge, Sub_metering_3.",1.098,hour in 1-5 & kW>0.8
2006-12-21 02:00:00,Night_Idle_Waste,Low,"Idle consumption 1.27kW at 2h. Check standby: router, fridge, Sub_metering_3.",0.975,hour in 1-5 & kW>0.8
2006-12-21 18:00:00,Peak_Shift,Medium,High consumption 2.44kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.489,hour=18 & kW>1.92
2006-12-21 19:00:00,Peak_Shift,Medium,High consumption 2.20kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.439,hour=19 & kW>1.87
2006-12-21 20:00:00,Peak_Shift,Medium,High consumption 2.44kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.487,hour=20 & kW>1.81
2006-12-22 05:00:00,Night_Idle_Waste,Low,"Idle consumption 0.81kW at 5h. Check standby: router, fridge, Sub_metering_3.",0.507,hour in 1-5 & kW>0.8
2006-12-22 18:00:00,Peak_Shift,Medium,High consumption 2.69kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.537,hour=18 & kW>1.38
2006-12-22 19:00:00,Peak_Shift,High,High consumption 3.94kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.788,hour=19 & kW>1.47
2006-12-22 20:00:00,Peak_Shift,High,High consumption 3.54kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.707,hour=20 & kW>1.53
2006-12-22 21:00:00,Peak_Shift,High,High consumption 4.55kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.91,hour=21 & kW>1.70
2006-12-23 01:00:00,Night_Idle_Waste,Low,"Idle consumption 1.72kW at 1h. Check standby: router, fridge, Sub_metering_3.",1.423,hour in 1-5 & kW>0.8
2006-12-23 02:00:00,Night_Idle_Waste,Low,"Idle consumption 1.70kW at 2h. Check standby: router, fridge, Sub_metering_3.",1.401,hour in 1-5 & kW>0.8
